"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (13): Population, 2021 [1]","Symbols","Population and dwelling counts (13): Population, 2016 [2]","Symbols","Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (13): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (13): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (13): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (13): Population density per square kilometre, 2021 [11]","Symbols","Population and dwelling counts (13): National population rank, 2021 [12]","Symbols","Population and dwelling counts (13): Province/territory population rank, 2021 [13]","Symbols"
"2021","Stratford","2021S0504553","916","33232",,"31470","r","5.6",,"15388",,"14304","r","7.6",,"14743",,"13849","r","6.5",,"30.02",,"1107.0",,"80",,"27",
"2021","Stratford","2021A00053531011","917","33232",,"31470","r","5.6",,"15388",,"14304","r","7.6",,"14743",,"13849","r","6.5",,"30.02",,"1107.0",,"145",,"58",
"2021","Strathmore","2021S0504826","918","14339",,"13756",,"4.2",,"5754",,"5358",,"7.4",,"5517",,"5148",,"7.2",,"26.98",,"531.6",,"135",,"14",
"2021","Strathmore","2021A00054805018","919","14339",,"13756",,"4.2",,"5754",,"5358",,"7.4",,"5517",,"5148",,"7.2",,"26.98",,"531.5",,"303",,"32",
"2021","Summerside","2021S0504110","920","18157",,"16831","r","7.9",,"8342",,"7843","r","6.4",,"7953",,"7324","r","8.6",,"125.12",,"145.1",,"123",,"2",
"2021","Linkletter","2021A00051103023","921","315",,"300","r","5.0",,"137",,"129","r","6.2",,"129",,"122","r","5.7",,"7.88",,"40.0",,"3458",,"66",
"2021","Miscouche","2021A00051103024","922","992",,"873",,"13.6",,"401",,"372",,"7.8",,"386",,"351",,"10.0",,"3.49",,"284.1",,"2120",,"33",
"2021","Miscouche","2021A00051103040","923","849",,"819","r","3.7",,"411",,"389","r","5.7",,"341",,"319","r","6.9",,"85.54",,"9.9",,"2310",,"35",
"2021","Summerside","2021A00051103025","924","16001",,"14839","r","7.8",,"7393",,"6953","r","6.3",,"7097",,"6532","r","8.6",,"28.21",,"567.2",,"277",,"2",
"2021","Swift Current","2021S0504720","925","18745",,"18536",,"1.1",,"8669",,"8393",,"3.3",,"7949",,"7854",,"1.2",,"1129.78",,"16.6",,"119",,"7",
"2021","Swift Current","2021A00054708004","926","16750",,"16604",,"0.9",,"7891",,"7650",,"3.2",,"7214",,"7149",,"0.9",,"29.30",,"571.6",,"272",,"5",
"2021","Swift Current No. 137","2021A00054708001","927","1995",,"1932",,"3.3",,"778",,"743",,"4.7",,"735",,"705",,"4.3",,"1100.47",,"1.8",,"1383",,"44",
"2021","Sylvan Lake","2021S0504831","928","16514",,"15302",,"7.9",,"7486",,"6914",,"8.3",,"6618",,"5814",,"13.8",,"24.25",,"680.9",,"128",,"11",
"2021","Jarvis Bay","2021A00054808005","929","213",,"213",,"0.0",,"141",,"136",,"3.7",,"90",,"86",,"4.7",,"0.55",,"390.7",,"3819",,"309",
"2021","Norglenwold","2021A00054808013","930","306",,"273",,"12.1",,"204",,"211",,"-3.3",,"132",,"112",,"17.9",,"0.62",,"490.8",,"3489",,"281",
"2021","Sylvan Lake","2021A00054808012","931","15995",,"14816",,"8.0",,"7141",,"6567",,"8.7",,"6396",,"5616",,"13.9",,"23.09",,"692.8",,"278",,"27",
"2021","Terrace","2021S0504965","932","19606",,"19160","r","2.3",,"8661",,"8354","r","3.7",,"8000",,"7679","r","4.2",,"9721.84",,"2.0",,"114",,"22",
"2021","Kitimat-Stikine C (Part 1)","2021A00055949013","933","2978",,"2834",,"5.1",,"1431",,"1411",,"1.4",,"1205",,"1136",,"6.1",,"9635.77",,"0.3",,"1052",,"161",
"2021","Kitimat-Stikine E","2021A00055949018","934","3932",,"3993",,"-1.5",,"1808",,"1818",,"-0.6",,"1713",,"1710",,"0.2",,"16.49",,"238.5",,"866",,"131",
"2021","Kitselas 1","2021A00055949844","935","291",,"269",,"8.2",,"82",,"79",,"3.8",,"81",,"75",,"8.0",,"4.74",,"61.4",,"3539",,"373",
"2021","Kitsumkaylum 1","2021A00055949804","936","315",,"334",,"-5.7",,"113",,"111",,"1.8",,"106",,"106",,"0.0",,"4.86",,"64.9",,"3458",,"367",
"2021","Kshish 4","2021A00055949805","937","0",,"0",,,"...","0",,"1",,"-100.0",,"0",,"0",,,"...","2.59",,"0.0",,"4831",,"644",
"2021","Kulspai 6","2021A00055949807","938","73",,"87",,"-16.1",,"27",,"28",,"-3.6",,"22",,"25",,"-12.0",,"0.07",,"1022.4",,"4396",,"496",
"2021","Terrace","2021A00055949011","939","12017",,"11643",,"3.2",,"5200",,"4906",,"6.0",,"4873",,"4627",,"5.3",,"57.33",,"209.6",,"358",,"55",
"2021","Thetford Mines","2021S0504430","940","28287",,"27564","r","2.6",,"14392",,"14015","r","2.7",,"13260",,"12980","r","2.2",,"405.92",,"69.7",,"93",,"21",
"2021","Saint-Adrien-d'Irlande","2021A00052431095","941","395",,"399",,"-1.0",,"209",,"209",,"0.0",,"178",,"170",,"4.7",,"53.18",,"7.4",,"3200",,"996",
"2021","Saint-Joseph-de-Coleraine","2021A00052431045","942","1820",,"1762",,"3.3",,"1124",,"1115",,"0.8",,"866",,"835",,"3.7",,"126.76",,"14.4",,"1461",,"429",
"2021","Thetford Mines","2021A00052431084","943","26072",,"25403",,"2.6",,"13059",,"12691",,"2.9",,"12216",,"11975",,"2.0",,"225.97",,"115.4",,"176",,"45",
"2021","Thompson","2021S0504640","944","13035",,"13678",,"-4.7",,"5442",,"5482",,"-0.7",,"4676",,"4910",,"-4.8",,"16.62",,"784.3",,"147",,"6",
"2021","Thompson","2021A00054622026","945","13035",,"13678",,"-4.7",,"5442",,"5482",,"-0.7",,"4676",,"4910",,"-4.8",,"16.62",,"784.3",,"335",,"8",
"2021","Thunder Bay","2021S0503595","946","123258",,"121621",,"1.3",,"57877",,"57146",,"1.3",,"54212",,"52545",,"3.2",,"2550.79",,"48.3",,"34",,"15",
"2021","Conmee","2021A00053558019","947","798",,"819",,"-2.6",,"317",,"327",,"-3.1",,"296",,"298",,"-0.7",,"167.65",,"4.8",,"2374",,"379",
"2021","Fort William 52","2021A00053558003","948","964",,"981","r","-1.7",,"391",,"375","r","4.3",,"361",,"343","r","5.2",,"58.50",,"16.5",,"2155",,"366",
"2021","Gillies","2021A00053558012","949","441",,"474",,"-7.0",,"208",,"201",,"3.5",,"186",,"185",,"0.5",,"92.68",,"4.8",,"3071",,"438",
"2021","Neebing","2021A00053558001","950","2241",,"2055","r","9.1",,"1205",,"1164","r","3.5",,"942",,"840","r","12.1",,"873.78",,"2.6",,"1284",,"302",
"2021","O'Connor","2021A00053558016","951","689",,"663",,"3.9",,"283",,"272",,"4.0",,"274",,"262",,"4.6",,"108.56",,"6.3",,"2544",,"396",
"2021","Oliver Paipoonge","2021A00053558011","952","6035",,"5922",,"1.9",,"2390",,"2289",,"4.4",,"2323",,"2239",,"3.8",,"350.51",,"17.2",,"646",,"215",
"2021","Shuniah","2021A00053558028","953","3247",,"2798",,"16.0",,"2088",,"2130",,"-2.0",,"1425",,"1196",,"19.1",,"571.34",,"5.7",,"988",,"267",
"2021","Thunder Bay","2021A00053558004","954","108843",,"107909",,"0.9",,"50995",,"50388",,"1.2",,"48405",,"47182",,"2.6",,"327.77",,"332.1",,"51",,"25",
"2021","Tillsonburg","2021S0504546","955","18615",,"15872",,"17.3",,"8494",,"7297",,"16.4",,"8229",,"7127",,"15.5",,"22.20",,"838.6",,"120",,"37",
"2021","Tillsonburg","2021A00053532004","956","18615",,"15872",,"17.3",,"8494",,"7297",,"16.4",,"8229",,"7127",,"15.5",,"22.20",,"838.6",,"248",,"94",
"2021","Timmins","2021S0504586","957","41145",,"41788",,"-1.5",,"19390",,"19317",,"0.4",,"17886",,"17740",,"0.8",,"2955.33",,"13.9",,"72",,"25",
"2021","Timmins","2021A00053556027","958","41145",,"41788",,"-1.5",,"19390",,"19317",,"0.4",,"17886",,"17740",,"0.8",,"2955.33",,"13.9",,"127",,"53",
"2021","Toronto","2021S0503535","959","6202225",,"5928040",,"4.6",,"2394205",,"2235145",,"7.1",,"2262473",,"2135909",,"5.9",,"5902.75",,"1050.7",,"1",,"1",
"2021","Ajax","2021A00053518005","960","126666",,"119677",,"5.8",,"40275",,"38105",,"5.7",,"39488",,"37549",,"5.2",,"66.64",,"1900.6",,"46",,"23",
"2021","Aurora","2021A00053519046","961","62057",,"55445",,"11.9",,"22253",,"19381",,"14.8",,"21506",,"18851",,"14.1",,"50.00",,"1241.1",,"92",,"39",
"2021","Bradford West Gwillimbury","2021A00053543014","962","42880",,"35325",,"21.4",,"13907",,"11918",,"16.7",,"13415",,"11591",,"15.7",,"200.68",,"213.7",,"121",,"51",
"2021","Brampton","2021A00053521010","963","656480",,"593638",,"10.6",,"189086",,"173428",,"9.0",,"182472",,"168011",,"8.6",,"265.89",,"2469.0",,"9",,"4",
"2021","Caledon","2021A00053521024","964","76581",,"66502","r","15.2",,"24795",,"22022","r","12.6",,"23699",,"21257","r","11.5",,"688.82",,"111.2",,"79",,"34",
"2021","Chippewas of Georgina Island First Nation","2021A00053519076","965","231",,"261",,"-11.5",,"550",,"565",,"-2.7",,"112",,"118",,"-5.1",,"14.47",,"16.0",,"3745",,"486",
"2021","East Gwillimbury","2021A00053519054","966","34637",,"23991",,"44.4",,"11869",,"8279",,"43.4",,"11449",,"8077",,"41.7",,"244.91",,"141.4",,"138",,"56",
"2021","Georgina","2021A00053519070","967","47642",,"45418",,"4.9",,"19368",,"18687",,"3.6",,"17895",,"16821",,"6.4",,"287.69",,"165.6",,"111",,"46",
"2021","Halton Hills","2021A00053524015","968","62951",,"61161",,"2.9",,"22252",,"21475",,"3.6",,"21825",,"21078",,"3.5",,"276.81",,"227.4",,"91",,"38",
"2021","King","2021A00053519049","969","27333",,"24512",,"11.5",,"9346",,"8736",,"7.0",,"8969",,"8144",,"10.1",,"332.12",,"82.3",,"168",,"65",
"2021","Markham","2021A00053519036","970","338503",,"328966",,"2.9",,"114908",,"106131",,"8.3",,"110867",,"102676",,"8.0",,"210.93",,"1604.8",,"16",,"7",
"2021","Milton","2021A00053524009","971","132979",,"110128",,"20.7",,"41000",,"35537",,"15.4",,"40038",,"34257",,"16.9",,"363.83",,"365.5",,"43",,"21",
"2021","Mississauga","2021A00053521005","972","717961",,"721599",,"-0.5",,"254089",,"248469",,"2.3",,"244575",,"240913",,"1.5",,"292.74",,"2452.5",,"7",,"3",
"2021","Mono","2021A00053522012","973","9421",,"8609",,"9.4",,"3327",,"3127",,"6.4",,"3131",,"2919",,"7.3",,"278.37",,"33.8",,"451",,"160",
"2021","New Tecumseth","2021A00053543007","974","43948",,"34242",,"28.3",,"16249",,"13191",,"23.2",,"15854",,"12906",,"22.8",,"273.87",,"160.5",,"118",,"49",
"2021","Newmarket","2021A00053519048","975","87942",,"84224",,"4.4",,"31239",,"29315",,"6.6",,"30301",,"28673",,"5.7",,"38.50",,"2284.1",,"70",,"31",
"2021","Oakville","2021A00053524001","976","213759",,"193832",,"10.3",,"76179",,"68617",,"11.0",,"73558",,"66269",,"11.0",,"138.94",,"1538.5",,"25",,"11",
"2021","Orangeville","2021A00053522014","977","30167",,"28900","r","4.4",,"11308",,"10695","r","5.7",,"11059",,"10564","r","4.7",,"15.16",,"1989.5",,"157",,"62",
"2021","Pickering","2021A00053518001","978","99186",,"91771",,"8.1",,"34327",,"31630",,"8.5",,"33425",,"30919",,"8.1",,"231.10",,"429.2",,"59",,"29",
"2021","Richmond Hill","2021A00053519038","979","202022",,"195022",,"3.6",,"72017",,"66465",,"8.4",,"69314",,"64116",,"8.1",,"100.79",,"2004.4",,"27",,"12",
"2021","Toronto","2021A00053520005","980","2794356",,"2731571",,"2.3",,"1253238",,"1179057",,"6.3",,"1160892",,"1112929",,"4.3",,"631.10",,"4427.8",,"1",,"1",
"2021","Uxbridge","2021A00053518029","981","21556",,"21176",,"1.8",,"8310",,"7946",,"4.6",,"8008",,"7663",,"4.5",,"420.52",,"51.3",,"209",,"83",
"2021","Vaughan","2021A00053519028","982","323103",,"306233",,"5.5",,"107159",,"96657",,"10.9",,"103914",,"94253",,"10.3",,"272.44",,"1185.9",,"17",,"8",
"2021","Whitchurch-Stouffville","2021A00053519044","983","49864",,"45837",,"8.8",,"17154",,"15712",,"9.2",,"16707",,"15355",,"8.8",,"206.42",,"241.6",,"104",,"43",
"2021","Trail","2021S0504910","984","14268",,"14196","r","0.5",,"6838",,"6880","r","-0.6",,"6513",,"6482","r","0.5",,"279.13",,"51.1",,"137",,"27",
"2021","Fruitvale","2021A00055905005","985","1958",,"1920",,"2.0",,"881",,"864",,"2.0",,"858",,"821",,"4.5",,"2.70",,"724.7",,"1404",,"206",
"2021","Kootenay Boundary A","2021A00055905026","986","1624",,"1891",,"-14.1",,"721",,"790",,"-8.7",,"692",,"785",,"-11.8",,"238.18",,"6.8",,"1583",,"233",
"2021","Montrose","2021A00055905009","987","1013",,"996",,"1.7",,"435",,"427",,"1.9",,"429",,"427",,"0.5",,"1.46",,"693.1",,"2095",,"275",
"2021","Trail","2021A00055905014","988","7920",,"7709",,"2.7",,"3973",,"3990",,"-0.4",,"3736",,"3681",,"1.5",,"34.90",,"226.9",,"519",,"76",
"2021","Warfield","2021A00055905018","989","1753",,"1680",,"4.3",,"828",,"809",,"2.3",,"798",,"768",,"3.9",,"1.89",,"929.3",,"1510",,"221",
"2021","Trois-Rivières","2021S0503442","990","161489",,"156042",,"3.5",,"80767",,"77734",,"3.9",,"76635",,"72502",,"5.7",,"1038.64",,"155.5",,"28",,"6",
"2021","Bécancour","2021A00052438010","991","13561",,"13031",,"4.1",,"6348",,"6031",,"5.3",,"6034",,"5694",,"6.0",,"439.54",,"30.9",,"325",,"86",
"2021","Champlain","2021A00052437220","992","1807",,"1735",,"4.1",,"957",,"927",,"3.2",,"862",,"813",,"6.0",,"58.17",,"31.1",,"1472",,"435",
"2021","Saint-Luc-de-Vincennes","2021A00052437225","993","519",,"545",,"-4.8",,"263",,"278",,"-5.4",,"252",,"251",,"0.4",,"53.78",,"9.6",,"2890",,"909",
"2021","Saint-Maurice","2021A00052437230","994","3432",,"3286",,"4.4",,"1409",,"1345",,"4.8",,"1360",,"1306",,"4.1",,"91.36",,"37.6",,"946",,"243",
"2021","Trois-Rivières","2021A00052437067","995","139163",,"134413",,"3.5",,"70411",,"67771",,"3.9",,"66822",,"63157",,"5.8",,"288.65",,"482.1",,"39",,"9",
"2021","Wôlinak","2021A00052438802","996","194",,"202",,"-4.0",,"106",,"97",,"9.3",,"97",,"90",,"7.8",,"0.74",,"262.8",,"3880",,"1116",
"2021","Yamachiche","2021A00052451020","997","2813",,"2830",,"-0.6",,"1273",,"1285",,"-0.9",,"1208",,"1191",,"1.4",,"106.39",,"26.4",,"1095",,"294",
"2021","Truro","2021S0504215","998","46157",,"45753",,"0.9",,"22637",,"22478",,"0.7",,"20698",,"20095",,"3.0",,"2732.53",,"16.9",,"67",,"3",
"2021","Colchester, Subd. B","2021A00051210008","999","19806",,"19534",,"1.4",,"9836",,"9564",,"2.8",,"8700",,"8290",,"4.9",,"1248.24",,"15.9",,"229",,"6",
"2021","Colchester, Subd. C","2021A00051210001","1000","12476",,"13098",,"-4.7",,"5779",,"6031",,"-4.2",,"5320",,"5451",,"-2.4",,"1443.12",,"8.6",,"346",,"9",
"2021","Millbrook 27","2021A00051210003","1001","921",,"860",,"7.1",,"364",,"309",,"17.8",,"331",,"302",,"9.6",,"3.65",,"252.1",,"2218",,"68",
"2021","Truro","2021A00051210006","1002","12954",,"12261",,"5.7",,"6658",,"6574",,"1.3",,"6347",,"6052",,"4.9",,"37.52",,"345.3",,"338",,"8",
"2021","Val-d'Or","2021S0504480","1003","34037",,"33871",,"0.5",,"16227",,"15674",,"3.5",,"15375",,"14877",,"3.3",,"3539.98",,"9.6",,"78",,"18",
"2021","Lac Simon","2021A00052489804","1004","1285",,"1380",,"-6.9",,"343",,"322",,"6.5",,"342",,"312",,"9.6",,"3.14",,"409.2",,"1823",,"565",
"2021","Val-d'Or","2021A00052489008","1005","32752",,"32491",,"0.8",,"15884",,"15352",,"3.5",,"15033",,"14565",,"3.2",,"3536.84",,"9.3",,"148",,"35",
"2021","Vancouver","2021S0503933","1006","2642825",,"2463431",,"7.3",,"1104532",,"1027613",,"7.5",,"1043319",,"960894",,"8.6",,"2878.93",,"918.0",,"3",,"1",
"2021","Anmore","2021A00055915038","1007","2356",,"2210",,"6.6",,"768",,"723",,"6.2",,"744",,"688",,"8.1",,"27.53",,"85.6",,"1245",,"185",
"2021","Barnston Island 3","2021A00055915809","1008",,"..","49",,,"..",,"..","16",,,"..",,"..","15",,,"..","0.58",,,"..",,"..",,".."
"2021","Belcarra","2021A00055915036","1009","687",,"643",,"6.8",,"289",,"292",,"-1.0",,"262",,"253",,"3.6",,"5.50",,"124.8",,"2549",,"301",
"2021","Bowen Island","2021A00055915062","1010","4256",,"3680",,"15.7",,"2036",,"1915",,"6.3",,"1724",,"1495",,"15.3",,"50.12",,"84.9",,"826",,"118",
"2021","Burnaby","2021A00055915025","1011","249125",,"232755",,"7.0",,"107046",,"98030",,"9.2",,"101136",,"92201",,"9.7",,"90.57",,"2750.7",,"22",,"3",
"2021","Burrard Inlet 3","2021A00055915806","1012","2373",,"2141","r","10.8",,"1168",,"1068","r","9.4",,"1136",,"1051","r","8.1",,"1.12",,"2123.3",,"1236",,"184",
"2021","Capilano 5","2021A00055915808","1013","2899",,"2931",,"-1.1",,"1464",,"1433",,"2.2",,"1334",,"1309",,"1.9",,"1.72",,"1689.1",,"1068",,"165",
"2021","Coquitlam","2021A00055915034","1014","148625",,"139284",,"6.7",,"58683",,"54393",,"7.9",,"55949",,"51325",,"9.0",,"122.15",,"1216.7",,"34",,"6",
"2021","Coquitlam 1","2021A00055915805","1015","55",,"54",,"1.9",,"26",,"25",,"4.0",,"24",,"22",,"9.1",,"0.03",,"1774.2",,"4482",,"518",
"2021","Coquitlam 2","2021A00055915804","1016","0",,"0",,,"...","1",,"0",,,"...","0",,"0",,,"...","0.81",,"0.0",,"4831",,"644",
"2021","Delta","2021A00055915011","1017","108455",,"102238",,"6.1",,"39736",,"37590",,"5.7",,"38058",,"35758",,"6.4",,"179.66",,"603.7",,"52",,"10",
"2021","Katzie 1","2021A00055915830","1018","244",,"262",,"-6.9",,"84",,"83",,"1.2",,"68",,"67",,"1.5",,"0.42",,"575.3",,"3703",,"388",
"2021","Katzie 2","2021A00055915813","1019","26",,"40",,"-35.0",,"14",,"15",,"-6.7",,"14",,"15",,"-6.7",,"0.31",,"84.6",,"4622",,"558",
"2021","Langley","2021A00055915001","1020","132603",,"117285",,"13.1",,"49011",,"43720",,"12.1",,"46928",,"41982",,"11.8",,"307.22",,"431.6",,"44",,"8",
"2021","Langley","2021A00055915002","1021","28963",,"25888",,"11.9",,"13271",,"12264",,"8.2",,"12598",,"11840",,"6.4",,"10.18",,"2845.2",,"161",,"30",
"2021","Lions Bay","2021A00055915065","1022","1390",,"1334",,"4.2",,"557",,"547",,"1.8",,"506",,"495",,"2.2",,"2.53",,"549.0",,"1748",,"251",
"2021","Maple Ridge","2021A00055915075","1023","90990",,"82256",,"10.6",,"34254",,"31400",,"9.1",,"33103",,"30262",,"9.4",,"267.82",,"339.7",,"68",,"15",
"2021","Matsqui 4","2021A00055915825","1024","456",,"471",,"-3.2",,"285",,"286",,"-0.3",,"278",,"285",,"-2.5",,"0.28",,"1654.6",,"3031",,"331",
"2021","McMillan Island 6","2021A00055915816","1025","96",,"94",,"2.1",,"42",,"32",,"31.3",,"42",,"32",,"31.3",,"1.78",,"53.9",,"4276",,"464",
"2021","Metro Vancouver A","2021A00055915020","1026","18612",,"16133",,"15.4",,"9201",,"8542",,"7.7",,"7682",,"6103",,"25.9",,"815.21",,"22.8",,"249",,"39",
"2021","Mission 1","2021A00055915807","1027","570",,"576",,"-1.0",,"199",,"178",,"11.8",,"172",,"160",,"7.5",,"0.28",,"2060.0",,"2777",,"312",
"2021","Musqueam 2","2021A00055915803","1028","1646",,"1652",,"-0.4",,"584",,"615",,"-5.0",,"562",,"578",,"-2.8",,"1.84",,"894.7",,"1569",,"230",
"2021","Musqueam 4","2021A00055915810","1029","10",,"10",,"0.0",,"4",,"4",,"0.0",,"4",,"4",,"0.0",,"0.53",,"18.8",,"4722",,"592",
"2021","New Westminster","2021A00055915029","1030","78916",,"70996",,"11.2",,"37737",,"34235",,"10.2",,"36099",,"32708",,"10.4",,"15.62",,"5052.4",,"77",,"17",
"2021","North Vancouver","2021A00055915046","1031","88168",,"85649","r","2.9",,"34179",,"32488","r","5.2",,"32700",,"30985","r","5.5",,"160.66",,"548.8",,"69",,"16",
"2021","North Vancouver","2021A00055915051","1032","58120",,"52898",,"9.9",,"29021",,"26426",,"9.8",,"27293",,"24645",,"10.7",,"11.83",,"4913.0",,"96",,"20",
"2021","Pitt Meadows","2021A00055915070","1033","19146",,"18573",,"3.1",,"7628",,"7356",,"3.7",,"7404",,"7194",,"2.9",,"86.34",,"221.7",,"240",,"37",
"2021","Port Coquitlam","2021A00055915039","1034","61498",,"58612",,"4.9",,"23671",,"22586",,"4.8",,"22884",,"21753",,"5.2",,"29.16",,"2108.7",,"93",,"19",
"2021","Port Moody","2021A00055915043","1035","33535",,"33551",,"0.0",,"13603",,"13318",,"2.1",,"13109",,"12976",,"1.0",,"25.85",,"1297.3",,"142",,"28",
"2021","Richmond","2021A00055915015","1036","209937",,"198309",,"5.9",,"85035",,"77478",,"9.8",,"81080",,"73457",,"10.4",,"128.87",,"1629.0",,"26",,"4",
"2021","Semiahmoo","2021A00055915801","1037","71",,"120",,"-40.8",,"33",,"64",,"-48.4",,"31",,"58",,"-46.6",,"1.32",,"53.7",,"4402",,"497",
"2021","Seymour Creek 2","2021A00055915811","1038","105",,"123",,"-14.6",,"37",,"40",,"-7.5",,"30",,"37",,"-18.9",,"0.49",,"216.0",,"4229",,"454",
"2021","Surrey","2021A00055915004","1039","568322",,"517887",,"9.7",,"195098",,"181159",,"7.7",,"185671",,"169964",,"9.2",,"316.11",,"1797.9",,"11",,"2",
"2021","Tsawwassen","2021A00055915802","1040","2256",,"816",,"176.5",,"1081",,"368",,"193.8",,"930",,"323",,"187.9",,"6.57",,"343.3",,"1272",,"191",
"2021","Vancouver","2021A00055915022","1041","662248",,"631486",,"4.9",,"328347",,"309418",,"6.1",,"305336",,"283916",,"7.5",,"115.18",,"5749.9",,"8",,"1",
"2021","West Vancouver","2021A00055915055","1042","44122",,"42473",,"3.9",,"18795",,"18649",,"0.8",,"17690",,"16933",,"4.5",,"87.18",,"506.1",,"117",,"23",
"2021","White Rock","2021A00055915007","1043","21939",,"19952",,"10.0",,"11541",,"10856",,"6.3",,"10735",,"10005",,"7.3",,"5.17",,"4240.6",,"205",,"33",
"2021","Whonnock 1","2021A00055915840","1044","5",,"0",,,"...","3",,"1",,"200.0",,"3",,"0",,,"...","0.39",,"12.9",,"4760",,"610",
"2021","Vernon","2021S0504918","1045","67086",,"61324","r","9.4",,"31677",,"29306","r","8.1",,"28723",,"26177","r","9.7",,"1041.09",,"64.4",,"54",,"9",
"2021","Coldstream","2021A00055937010","1046","11171",,"10648",,"4.9",,"4341",,"4159",,"4.4",,"4100",,"3915",,"4.7",,"66.57",,"167.8",,"386",,"58",
"2021","North Okanagan B","2021A00055937017","1047","3274",,"3203",,"2.2",,"1480",,"1533",,"-3.5",,"1286",,"1284",,"0.2",,"487.80",,"6.7",,"982",,"152",
"2021","North Okanagan C","2021A00055937021","1048","4511",,"3870","r","16.6",,"2317",,"2244","r","3.3",,"1717",,"1496","r","14.8",,"300.14",,"15.0",,"788",,"109",
"2021","Okanagan (Part) 1","2021A00055937801","1049","3244",,"2859","r","13.5",,"2015",,"1895","r","6.3",,"1616",,"1380","r","17.1",,"89.79",,"36.1",,"989",,"153",
"2021","Priest's Valley 6","2021A00055937803","1050","367",,"628",,"-41.6",,"237",,"304",,"-22.0",,"228",,"303",,"-24.8",,"0.36",,"1024.9",,"3292",,"351",
"2021","Vernon","2021A00055937014","1051","44519",,"40116","r","11.0",,"21287",,"19171","r","11.0",,"19776",,"17799","r","11.1",,"96.43",,"461.7",,"116",,"22",
"2021","Victoria","2021S0503935","1052","397237",,"367770",,"8.0",,"186674",,"172559",,"8.2",,"176676",,"162716",,"8.6",,"695.29",,"571.3",,"16",,"2",
"2021","Becher Bay 1","2021A00055917809","1053","221",,"129",,"71.3",,"88",,"54",,"63.0",,"80",,"43",,"86.0",,"2.64",,"83.9",,"3783",,"400",
"2021","Central Saanich","2021A00055917015","1054","17385",,"16814",,"3.4",,"7621",,"7121",,"7.0",,"7105",,"6893",,"3.1",,"41.20",,"421.9",,"264",,"43",
"2021","Cole Bay 3","2021A00055917801","1055","266",,"332",,"-19.9",,"90",,"97",,"-7.2",,"86",,"90",,"-4.4",,"2.82",,"94.4",,"3624",,"378",
"2021","Colwood","2021A00055917041","1056","18961",,"16859",,"12.5",,"7688",,"6867",,"12.0",,"7428",,"6588",,"12.8",,"17.66",,"1073.6",,"242",,"38",
"2021","East Saanich 2","2021A00055917803","1057","1790",,"1689",,"6.0",,"1008",,"796",,"26.6",,"943",,"768",,"22.8",,"2.60",,"687.5",,"1487",,"217",
"2021","Esquimalt","2021A00055917040","1058","17533",,"17655",,"-0.7",,"8995",,"8742",,"2.9",,"8565",,"8493",,"0.8",,"7.08",,"2476.7",,"263",,"42",
"2021","Esquimalt","2021A00055917811","1059","120",,,"..",,"..","41",,,"..",,"..","39",,,"..",,"..","0.22",,"554.3",,"4170",,"444",
"2021","Highlands","2021A00055917049","1060","2482",,"2225",,"11.6",,"927",,"862",,"7.5",,"906",,"831",,"9.0",,"38.01",,"65.3",,"1201",,"176",
"2021","Juan de Fuca (Part 1)","2021A00055917054","1061","5132",,"4670","r","9.9",,"2459",,"2337","r","5.2",,"2202",,"1992","r","10.5",,"221.48",,"23.2",,"718",,"97",
"2021","Langford","2021A00055917044","1062","46584",,"35342",,"31.8",,"19968",,"14906",,"34.0",,"19050",,"14178",,"34.4",,"41.43",,"1124.4",,"113",,"21",
"2021","Metchosin","2021A00055917042","1063","5067",,"4708",,"7.6",,"1938",,"1932",,"0.3",,"1856",,"1818",,"2.1",,"69.57",,"72.8",,"724",,"99",
"2021","New Songhees 1A","2021A00055917812","1064","1839",,"1842",,"-0.2",,"991",,"917",,"8.1",,"936",,"891",,"5.1",,"0.71",,"2590.1",,"1452",,"213",
"2021","North Saanich","2021A00055917005","1065","12235",,"11249",,"8.8",,"5235",,"4936",,"6.1",,"5010",,"4626",,"8.3",,"37.16",,"329.2",,"353",,"53",
"2021","Oak Bay","2021A00055917030","1066","17990",,"18094",,"-0.6",,"8168",,"8122",,"0.6",,"7807",,"7737",,"0.9",,"10.52",,"1710.1",,"255",,"41",
"2021","Saanich","2021A00055917021","1067","117735",,"114148",,"3.1",,"50064",,"49422",,"1.3",,"48048",,"46652",,"3.0",,"103.59",,"1136.6",,"49",,"9",
"2021","Sidney","2021A00055917010","1068","12318",,"11672",,"5.5",,"6321",,"5960",,"6.1",,"5981",,"5603",,"6.7",,"5.11",,"2412.8",,"350",,"51",
