"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (13): Population, 2021 [1]","Symbols","Population and dwelling counts (13): Population, 2016 [2]","Symbols","Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (13): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (13): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (13): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (13): Population density per square kilometre, 2021 [11]","Symbols","Population and dwelling counts (13): National population rank, 2021 [12]","Symbols","Population and dwelling counts (13): Province/territory population rank, 2021 [13]","Symbols"
"2021","St. Catharines - Niagara","2021S0503539","888","433604",,"406074",,"6.8",,"190878",,"180606",,"5.7",,"179224",,"168485",,"6.4",,"1397.09",,"310.4",,"13",,"6",
"2021","Fort Erie","2021A00053526003","889","32901",,"30710",,"7.1",,"15875",,"15345",,"3.5",,"14081",,"13184",,"6.8",,"166.24",,"197.9",,"147",,"59",
"2021","Lincoln","2021A00053526057","890","25719",,"23787",,"8.1",,"9826",,"8934",,"10.0",,"9555",,"8710",,"9.7",,"162.74",,"158.0",,"177",,"68",
"2021","Niagara Falls","2021A00053526043","891","94415",,"88071",,"7.2",,"39778",,"37265",,"6.7",,"37793",,"35773",,"5.6",,"210.25",,"449.1",,"63",,"30",
"2021","Niagara-on-the-Lake","2021A00053526047","892","19088",,"17511",,"9.0",,"8578",,"7964",,"7.7",,"7857",,"7089",,"10.8",,"131.35",,"145.3",,"241",,"91",
"2021","Pelham","2021A00053526028","893","18192",,"17110",,"6.3",,"7123",,"6596",,"8.0",,"6959",,"6469",,"7.6",,"126.35",,"144.0",,"251",,"95",
"2021","Port Colborne","2021A00053526011","894","20033",,"18306",,"9.4",,"10219",,"9825",,"4.0",,"8710",,"8018",,"8.6",,"121.99",,"164.2",,"226",,"89",
"2021","St. Catharines","2021A00053526053","895","136803",,"133113",,"2.8",,"61977",,"59879",,"3.5",,"58903",,"56873",,"3.6",,"96.20",,"1422.1",,"42",,"20",
"2021","Thorold","2021A00053526037","896","23816",,"18801",,"26.7",,"9856",,"8498",,"16.0",,"9095",,"7466",,"21.8",,"83.29",,"285.9",,"187",,"73",
"2021","Wainfleet","2021A00053526014","897","6887",,"6372",,"8.1",,"3116",,"2977",,"4.7",,"2615",,"2413",,"8.4",,"217.53",,"31.7",,"590",,"206",
"2021","Welland","2021A00053526032","898","55750",,"52293",,"6.6",,"24530",,"23323",,"5.2",,"23656",,"22490",,"5.2",,"81.16",,"686.9",,"98",,"40",
"2021","St. John's","2021S0503001","899","212579",,"208418","r","2.0",,"97429",,"93459","r","4.2",,"89999",,"85990","r","4.7",,"931.56",,"228.2",,"22",,"1",
"2021","Bauline","2021A00051001512","900","412",,"452",,"-8.8",,"172",,"174",,"-1.1",,"161",,"163",,"-1.2",,"16.05",,"25.7",,"3140",,"178",
"2021","Bay Bulls","2021A00051001557","901","1566",,"1500",,"4.4",,"631",,"589",,"7.1",,"597",,"566",,"5.5",,"30.60",,"51.2",,"1624",,"55",
"2021","Conception Bay South","2021A00051001485","902","27168",,"26199",,"3.7",,"11364",,"10553",,"7.7",,"10711",,"9934",,"7.8",,"59.72",,"454.9",,"169",,"2",
"2021","Flatrock","2021A00051001507","903","1722",,"1683",,"2.3",,"675",,"641",,"5.3",,"638",,"608",,"4.9",,"18.10",,"95.1",,"1531",,"48",
"2021","Holyrood","2021A00051001472","904","2471",,"2463",,"0.3",,"1089",,"1106",,"-1.5",,"993",,"975",,"1.8",,"126.02",,"19.6",,"1205",,"31",
"2021","Logy Bay-Middle Cove-Outer Cove","2021A00051001511","905","2364",,"2221",,"6.4",,"940",,"827",,"13.7",,"887",,"804",,"10.3",,"16.99",,"139.1",,"1240",,"32",
"2021","Mount Pearl","2021A00051001542","906","22477",,"23120","r","-2.8",,"10685",,"10381","r","2.9",,"9931",,"9673","r","2.7",,"15.65",,"1436.2",,"199",,"4",
"2021","Paradise","2021A00051001517","907","22957",,"21389",,"7.3",,"9331",,"8662",,"7.7",,"8813",,"8038",,"9.6",,"29.67",,"773.8",,"196",,"3",
"2021","Petty Harbour-Maddox Cove","2021A00051001551","908","947",,"960",,"-1.4",,"408",,"394",,"3.6",,"381",,"371",,"2.7",,"4.40",,"215.3",,"2182",,"82",
"2021","Portugal Cove-St. Philip's","2021A00051001504","909","8415",,"8147",,"3.3",,"3357",,"3215",,"4.4",,"3170",,"3028",,"4.7",,"57.61",,"146.1",,"490",,"8",
"2021","Pouch Cove","2021A00051001505","910","2063",,"2069",,"-0.3",,"872",,"868",,"0.5",,"823",,"818",,"0.6",,"58.24",,"35.4",,"1355",,"39",
"2021","St. John's","2021A00051001519","911","110525",,"108860",,"1.5",,"54067",,"52410",,"3.2",,"49298",,"47627",,"3.5",,"446.02",,"247.8",,"50",,"1",
"2021","Torbay","2021A00051001509","912","7852",,"7899",,"-0.6",,"3182",,"3005",,"5.9",,"2985",,"2864",,"4.2",,"34.89",,"225.0",,"525",,"10",
"2021","Witless Bay","2021A00051001559","913","1640",,"1619",,"1.3",,"656",,"634",,"3.5",,"611",,"589",,"3.7",,"17.61",,"93.1",,"1572",,"52",
"2021","Steinbach","2021S0504605","914","17806",,"16022","r","11.1",,"7092",,"6359","r","11.5",,"6836",,"6076","r","12.5",,"37.56",,"474.1",,"126",,"4",
"2021","Steinbach","2021A00054602044","915","17806",,"16022","r","11.1",,"7092",,"6359","r","11.5",,"6836",,"6076","r","12.5",,"37.56",,"474.1",,"260",,"3",
