City,Geographic Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,April 2020,2020,2021
Orlando,".Orlando-Kissimmee-Sanford, FL Metro Area",2139161.0,2176054.0,2225636.0,2270149.0,2324391.0,2388509.0,2455583.0,2517777.0,2574838.0,2608147.0,2673376.0,2677687.0,2691925.0
Philadelphia,".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5970899.0,5996232.0,6016616.0,6030134.0,6046382.0,6056816.0,6066661.0,6078522.0,6091208.0,6102434.0,6245051.0,6241983.0,6228601.0
Phoenix,".Phoenix-Mesa-Chandler, AZ Metro Area",4204204.0,4253037.0,4329756.0,4403121.0,4488970.0,4578519.0,4673336.0,4758748.0,4849209.0,4948203.0,4845832.0,4867925.0,4946145.0
Pittsburgh,".Pittsburgh, PA Metro Area",2357090.0,2360417.0,2360443.0,2359803.0,2356189.0,2347757.0,2340222.0,2329004.0,2322653.0,2317600.0,2370930.0,2367293.0,2353538.0
Portland,".Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232181.0,2262834.0,2288465.0,2311015.0,2343994.0,2381660.0,2426575.0,2454815.0,2473350.0,2492412.0,2512859.0,2516230.0,2511612.0
Raleigh,".Raleigh-Cary, NC Metro Area",1137383.0,1162179.0,1187848.0,1213499.0,1241189.0,1271091.0,1303854.0,1334235.0,1361590.0,1390785.0,1413982.0,1420225.0,1448411.0
Sacramento,".Sacramento-Roseville-Folsom, CA Metro Area",2153613.0,2172948.0,2190266.0,2210512.0,2235640.0,2263121.0,2291533.0,2319572.0,2341940.0,2363730.0,2397382.0,2399351.0,2411428.0
Salt Lake,".Salt Lake City, UT Metro Area",1091478.0,1106800.0,1123748.0,1140025.0,1151447.0,1164912.0,1184721.0,1204205.0,1218681.0,1232696.0,1257936.0,1259517.0,1263061.0
San Antonio,".San Antonio-New Braunfels, TX Metro Area",2153009.0,2193923.0,2236981.0,2280002.0,2328894.0,2379232.0,2426276.0,2472121.0,2512379.0,2550960.0,2558143.0,2566683.0,2601788.0
San Diego,".San Diego-Chula Vista-Carlsbad, CA Metro Area",3103212.0,3137156.0,3174335.0,3209768.0,3248877.0,3280850.0,3306089.0,3321237.0,3333861.0,3338330.0,3298634.0,3297252.0,3286069.0
San Francisco,".San Francisco-Oakland-Berkeley, CA Metro Area",4343634.0,4395725.0,4455473.0,4519636.0,4584981.0,4647924.0,4688198.0,4712421.0,4726314.0,4731803.0,4749008.0,4739649.0,4623264.0
San Jose,".San Jose-Sunnyvale-Santa Clara, CA Metro Area",1841556.0,1868031.0,1894452.0,1923664.0,1949578.0,1974501.0,1987593.0,1992674.0,1993804.0,1990660.0,2000468.0,1995105.0,1952185.0
St. Louis,".St. Louis, MO-IL Metro Area",2789989.0,2795155.0,2796682.0,2799472.0,2803430.0,2807503.0,2805502.0,2805758.0,2803958.0,2803228.0,2820253.0,2818267.0,2809299.0
Seattle,".Seattle-Tacoma-Bellevue, WA Metro Area",3449241.0,3503891.0,3558829.0,3612347.0,3675160.0,3739654.0,3816355.0,3885579.0,3935179.0,3979845.0,4018762.0,4024730.0,4011553.0
Tampa,".Tampa-St. Petersburg-Clearwater, FL Metro Area",2788366.0,2813269.0,2843636.0,2880536.0,2927395.0,2983928.0,3048963.0,3106922.0,3154649.0,3194831.0,3175275.0,3183385.0,3219514.0
Washington,".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5678491.0,5782319.0,5878942.0,5963312.0,6031945.0,6093950.0,6149301.0,6211341.0,6247841.0,6280487.0,6385162.0,6385714.0,6356434.0
